Detected,label_no
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,3
43,3
44,3
45,3
46,3
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,7
114,7
115,7
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,8
134,8
135,8
136,8
137,9
138,9
139,9
140,9
141,9
142,9
143,9
144,9
145,9
146,9
147,9
148,9
149,9
150,9
151,9
152,9
153,9
154,9
155,9
156,9
157,9
158,10
159,10
160,10
161,10
162,10
163,11
164,11
165,11
166,11
167,11
168,12
169,12
170,12
171,12
172,12
173,13
174,13
175,13
176,13
177,13
178,13
179,13
180,13
181,13
182,13
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,14
192,14
193,14
194,14
195,14
196,14
197,14
198,14
199,14
200,14
201,14
202,14
203,14
204,14
205,14
206,14
207,14
208,14
209,14
210,14
211,15
212,15
213,15
214,15
215,15
216,15
217,15
218,15
219,15
220,15
221,15
222,15
223,15
224,15
225,15
226,15
227,15
228,15
229,15
230,15
231,15
232,15
233,15
234,15
235,15
236,16
237,16
238,16
239,16
240,16
241,16
242,16
243,16
244,16
245,16
246,16
247,16
248,16
249,16
250,16
251,16
252,16
253,16
254,16
255,16
256,16
257,16
258,16
259,17
260,17
261,17
262,17
263,18
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,18
277,18
278,18
279,18
280,18
281,18
282,19
283,19
284,19
285,19
286,19
287,19
288,19
289,19
290,19
291,19
292,19
293,19
294,19
295,19
296,19
297,19
298,19
299,19
300,19
301,20
302,20
303,20
304,20
305,20
306,20
307,20
308,20
309,20
310,20
311,20
312,20
313,20
314,20
315,20
316,20
317,20
318,21
319,21
320,21
321,21
322,21
323,21
324,21
325,21
326,21
327,21
328,21
329,21
330,21
331,21
332,21
333,21
334,21
335,21
336,21
337,21
338,22
339,22
340,22
341,22
342,22
343,22
344,22
345,22
346,22
347,22
348,22
349,22
350,22
351,22
352,22
353,22
354,22
355,22
356,22
357,22
358,23
359,23
360,23
361,23
362,23
363,23
364,23
365,23
366,23
367,23
368,23
369,23
370,23
371,23
372,23
373,23
374,23
375,23
376,23
377,23
378,23
379,23
380,24
381,25
382,26
383,26
384,26
385,26
386,26
387,27
388,27
389,27
390,27
391,27
392,27
393,27
394,27
395,27
396,27
397,27
398,27
399,27
400,27
401,27
402,27
403,27
404,27
405,27
406,27
407,28
408,28
409,28
410,28
411,28
412,28
413,28
414,28
415,28
416,28
417,28
418,28
419,28
420,28
421,28
422,28
423,28
424,28
425,28
426,28
427,28
428,28
